Date,Timezone,Operation,Volume,Amount
2025-05-01,America/Sao_Paulo,Pix Cash Out,4,-42
2025-05-01,America/Sao_Paulo,Pix Cash In,4,80
2025-05-02,America/Sao_Paulo,Pix Cash Out,2,-23
2025-05-02,America/Sao_Paulo,Pix Cash In,4,7
2025-05-04,America/Sao_Paulo,Pix Cash Out,2,-22
2025-05-04,America/Sao_Paulo,Pix Cash In,1,3
2025-05-05,America/Sao_Paulo,Pix Cash Out,250,-66931.81
2025-05-05,America/Sao_Paulo,Pix Cash In,2468,187881.93
2025-05-06,America/Sao_Paulo,Pix Cash Out,1590,-338188.89
2025-05-06,America/Sao_Paulo,Pix Cash In,5386,358246.77
2025-05-07,America/Sao_Paulo,Pix Cash Out,1654,-415052.63
2025-05-07,America/Sao_Paulo,Pix Cash In,6502,452482.02
2025-05-08,America/Sao_Paulo,Pix Cash Out,1838,-374358.08
2025-05-08,America/Sao_Paulo,Pix Cash In,6323,412619.33
