Date,Timezone,Operation,Volume,Amount
2025-05-01,America/Sao_Paulo,"Pix Cash Out",11130,-1533670
2025-05-01,America/Sao_Paulo,"Pix Cash In",34095,1354245.15
2025-05-02,America/Sao_Paulo,"Pix Cash Out",9316,-1591988
2025-05-02,America/Sao_Paulo,"Pix Cash In",37443,1534472.54
2025-05-03,America/Sao_Paulo,"Pix Cash Out",8788,-1274157
2025-05-03,America/Sao_Paulo,"Pix Cash In",34160,1539372.8
2025-05-04,America/Sao_Paulo,"Pix Cash Out",8535,-1111015
2025-05-04,America/Sao_Paulo,"Pix Cash In",25684,1059900.18
2025-05-05,America/Sao_Paulo,"Pix Cash Out",10970,-1757453
2025-05-05,America/Sao_Paulo,"Pix Cash In",33517,1430010.69
2025-05-06,America/Sao_Paulo,"Pix Cash Out",12155,-1815117
2025-05-06,America/Sao_Paulo,"Pix Cash In",47671,2075541.89
2025-05-07,America/Sao_Paulo,"Pix Cash Out",12945,-2005654
2025-05-07,America/Sao_Paulo,"Pix Cash In",48313,2122420.17
2025-05-08,America/Sao_Paulo,"Pix Cash Out",9428,-1436310
2025-05-08,America/Sao_Paulo,"Pix Cash In",23492,1038971
