Date,Timezone,Operation,Volume,Amount
2025-05-01,America/Sao_Paulo,Pix Cash Out,4261,-905718
2025-05-01,America/Sao_Paulo,Pix Cash In,5593,803338
2025-05-02,America/Sao_Paulo,Pix Cash Out,4229,-1065323.7
2025-05-02,America/Sao_Paulo,Pix Cash In,7445,1049702
2025-05-03,America/Sao_Paulo,Pix Cash Out,5151,-1150048.5
2025-05-03,America/Sao_Paulo,Pix Cash In,10778,1186429
2025-05-04,America/Sao_Paulo,Pix Cash Out,3732,-734857
2025-05-04,America/Sao_Paulo,Pix Cash In,10176,991878
2025-05-05,America/Sao_Paulo,Pix Cash Out,5278,-1052463.75
2025-05-05,America/Sao_Paulo,Pix Cash In,11660,989828
2025-05-06,America/Sao_Paulo,Pix Cash Out,5785,-1249829.75
2025-05-06,America/Sao_Paulo,Pix Cash In,7432,1066546
2025-05-07,America/Sao_Paulo,Pix Cash Out,4374,-1078590
2025-05-07,America/Sao_Paulo,Pix Cash In,8877,1162949
2025-05-08,America/Sao_Paulo,Pix Cash Out,5462,-1421347.36
2025-05-08,America/Sao_Paulo,Pix Cash In,11288,1477569
