Date,Timezone,Operation,Volume,Amount
2025-05-01,America/Sao_Paulo,"Pix Cash Out",0,-0
2025-05-01,America/Sao_Paulo,"Pix Cash In",91,3604.21
2025-05-02,America/Sao_Paulo,"Pix Cash Out",0,-0
2025-05-02,America/Sao_Paulo,"Pix Cash In",69,2639.11
2025-05-03,America/Sao_Paulo,"Pix Cash Out",0,-0
2025-05-03,America/Sao_Paulo,"Pix Cash In",88,3141.2
2025-05-04,America/Sao_Paulo,"Pix Cash Out",0,-0
2025-05-04,America/Sao_Paulo,"Pix Cash In",84,3014.6
2025-05-05,America/Sao_Paulo,"Pix Cash Out",1,-30996
2025-05-05,America/Sao_Paulo,"Pix Cash In",49,2231.01
2025-05-06,America/Sao_Paulo,"Pix Cash Out",0,-0
2025-05-06,America/Sao_Paulo,"Pix Cash In",96,3443.71
2025-05-07,America/Sao_Paulo,"Pix Cash Out",0,-0
2025-05-07,America/Sao_Paulo,"Pix Cash In",121,5570
2025-05-08,America/Sao_Paulo,"Pix Cash Out",0,-0
2025-05-08,America/Sao_Paulo,"Pix Cash In",55,2269.5
