Date,Timezone,Operation,Volume,Amount
2025-05-01,America/Sao_Paulo,Pix Cash Out,296758,-27086673.55
2025-05-01,America/Sao_Paulo,Pix Cash In,950347,28256151.54
2025-05-02,America/Sao_Paulo,Pix Cash Out,241755,-31411179.1
2025-05-02,America/Sao_Paulo,Pix Cash In,1026011,31164898.16
2025-05-03,America/Sao_Paulo,Pix Cash Out,291771,-30645308.66
2025-05-03,America/Sao_Paulo,Pix Cash In,1189443,35657191.58
2025-05-04,America/Sao_Paulo,Pix Cash Out,256289,-24868665.91
2025-05-04,America/Sao_Paulo,Pix Cash In,870097,25373975.61
2025-05-05,America/Sao_Paulo,Pix Cash Out,299523,-31649404.61
2025-05-05,America/Sao_Paulo,Pix Cash In,864093,26588031.7
2025-05-06,America/Sao_Paulo,Pix Cash Out,288614,-30957310.65
2025-05-06,America/Sao_Paulo,Pix Cash In,960465,30060090.31
2025-05-07,America/Sao_Paulo,Pix Cash Out,346824,-36536558.05
2025-05-07,America/Sao_Paulo,Pix Cash In,1145888,37293890.72
2025-05-08,America/Sao_Paulo,Pix Cash Out,154438,-22274440.22
2025-05-08,America/Sao_Paulo,Pix Cash In,677425,19818498.12
