Date,Timezone,Operation,Volume,Amount
2025-05-01,America/Sao_Paulo,Pix Cash Out,26008,-3099659
2025-05-01,America/Sao_Paulo,Pix Cash In,80445,3177517.24
2025-05-02,America/Sao_Paulo,Pix Cash Out,21217,-2243609
2025-05-02,America/Sao_Paulo,Pix Cash In,60116,2207972.97
2025-05-03,America/Sao_Paulo,Pix Cash Out,16656,-2184690
2025-05-03,America/Sao_Paulo,Pix Cash In,51040,2088430.19
2025-05-04,America/Sao_Paulo,Pix Cash Out,22296,-2446770
2025-05-04,America/Sao_Paulo,Pix Cash In,70889,2487340.91
2025-05-05,America/Sao_Paulo,Pix Cash Out,18575,-2289156
2025-05-05,America/Sao_Paulo,Pix Cash In,59423,2344510.76
2025-05-06,America/Sao_Paulo,Pix Cash Out,32486,-3579511
2025-05-06,America/Sao_Paulo,Pix Cash In,100545,3585122.21
2025-05-07,America/Sao_Paulo,Pix Cash Out,20012,-2546499
2025-05-07,America/Sao_Paulo,Pix Cash In,61153,2540702.3
2025-05-08,America/Sao_Paulo,Pix Cash Out,16339,-2637043
2025-05-08,America/Sao_Paulo,Pix Cash In,68135,2663651.34
