Date,Timezone,Operation,Volume,Amount
2025-05-01,UTC,"Pix Cash Out",1,-11
2025-05-01,UTC,"Pix Cash In",2,35
2025-05-02,UTC,"Pix Cash Out",5,-54
2025-05-02,UTC,"Pix Cash In",6,52
2025-05-03,UTC,"Pix Cash Out",0,-0
2025-05-03,UTC,"Pix Cash In",0,0
2025-05-04,UTC,"Pix Cash Out",2,-22
2025-05-04,UTC,"Pix Cash In",1,3
2025-05-05,UTC,"Pix Cash Out",8,-2034.17
2025-05-05,UTC,"Pix Cash In",1460,116274.46
2025-05-06,UTC,"Pix Cash Out",1542,-326439.12
2025-05-06,UTC,"Pix Cash In",5294,366282.34
2025-05-07,UTC,"Pix Cash Out",1603,-424372.93
2025-05-07,UTC,"Pix Cash In",6228,430206.53
2025-05-08,UTC,"Pix Cash Out",1293,-262036.95
2025-05-08,UTC,"Pix Cash In",4543,309468.87
