Date,Timezone,Operation,Volume,Amount
2025-05-01,America/Sao_Paulo,"Pix Cash Out",297,-134981.69
2025-05-01,America/Sao_Paulo,"Pix Cash In",1819,163788.96
2025-05-02,America/Sao_Paulo,"Pix Cash Out",283,-178706.14
2025-05-02,America/Sao_Paulo,"Pix Cash In",1689,170269.73
2025-05-03,America/Sao_Paulo,"Pix Cash Out",289,-182043.97
2025-05-03,America/Sao_Paulo,"Pix Cash In",1743,170471.11
2025-05-04,America/Sao_Paulo,"Pix Cash Out",256,-124709.15
2025-05-04,America/Sao_Paulo,"Pix Cash In",1537,127077.44
2025-05-05,America/Sao_Paulo,"Pix Cash Out",240,-129852.39
2025-05-05,America/Sao_Paulo,"Pix Cash In",1561,142646.39
2025-05-06,America/Sao_Paulo,"Pix Cash Out",263,-216153.24
2025-05-06,America/Sao_Paulo,"Pix Cash In",1658,178433.56
2025-05-07,America/Sao_Paulo,"Pix Cash Out",324,-200358.31
2025-05-07,America/Sao_Paulo,"Pix Cash In",2247,207667.78
2025-05-08,America/Sao_Paulo,"Pix Cash Out",317,-180451.19
2025-05-08,America/Sao_Paulo,"Pix Cash In",1880,152813.68
