Date,Timezone,Operation,Volume,Amount
2025-05-01,America/Sao_Paulo,"Pix Cash Out",10076,-457630.56
2025-05-01,America/Sao_Paulo,"Pix Cash In",10701,396282.4
2025-05-02,America/Sao_Paulo,"Pix Cash Out",8747,-379666.43
2025-05-02,America/Sao_Paulo,"Pix Cash In",11894,456687.3
2025-05-03,America/Sao_Paulo,"Pix Cash Out",12940,-449609.39
2025-05-03,America/Sao_Paulo,"Pix Cash In",12689,438005.78
2025-05-04,America/Sao_Paulo,"Pix Cash Out",11943,-353667.21
2025-05-04,America/Sao_Paulo,"Pix Cash In",8682,320333.37
2025-05-05,America/Sao_Paulo,"Pix Cash Out",6996,-297794.95
2025-05-05,America/Sao_Paulo,"Pix Cash In",8905,349635.16
2025-05-06,America/Sao_Paulo,"Pix Cash Out",5386,-383901.51
2025-05-06,America/Sao_Paulo,"Pix Cash In",8872,368646.6
2025-05-07,America/Sao_Paulo,"Pix Cash Out",7990,-430751.19
2025-05-07,America/Sao_Paulo,"Pix Cash In",10075,479602.78
2025-05-08,America/Sao_Paulo,"Pix Cash Out",11019,-507257.62
2025-05-08,America/Sao_Paulo,"Pix Cash In",11181,467530.56
